Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC ID,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC ID,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
akt,family,,,,p31749,,,foxo1,protein,,,,q12778,,,negative,False,"nan,nan",,,,,,,,"nan,nan","pmc4302769,pmc4302769",2.0,10.0,40.0,1.0,60.0
tcr,protein,,,,p04234,,,akt,family,,,,p31749,,,negative,False,nan,,,,,,,,nan,pmc4302769,1.0,10.0,40.0,1.0,50.0
foxo1,protein,,,,q12778,,,pten,protein,,,,p60484,,,positive,False,nan,,,,,,,,nan,pmc4418530,1.0,10.0,40.0,1.0,50.0
mtor,protein,,,,p42345,,,akt,family,,,,p31749,,,positive,False,nan,,,,,,,,nan,pmc4487994,1.0,10.0,40.0,1.0,50.0
foxp3,protein,,,,q9bzs1,,,itk,protein,,,,q08881,,,positive,False,"nan,nan",,,,,,,,"nan,nan","pmc3949578,pmc3949578",2.0,1.0,40.0,1.0,42.0
akt,family,,,,p31749,,,tbk1,protein,,,,q9uhd2,,,positive,False,"nan,nan",,,,,,,,"nan,nan","pmc4302769,pmc4302769",2.0,1.0,40.0,1.0,42.0
tcr,protein,,,,p04234,,,itk,protein,,,,q08881,,,positive,False,nan,,,,,,,,nan,pmc3949578,1.0,1.0,40.0,1.0,41.0
akt,family,,,,p31749,,,magi1,protein,,,,q6p9h4,,,negative,False,nan,,,,,,,,nan,pmc3625979,1.0,1.0,40.0,1.0,41.0
pten,protein,,,,p60484,,,itk,protein,,,,q08881,,,negative,False,nan,,,,,,,,nan,pmc3949578,1.0,1.0,40.0,1.0,41.0
pten,protein,,,,p60484,,,hsc,protein,,,,p19526,,,positive,False,nan,,,,,,,,nan,pmc3375464,1.0,1.0,40.0,1.0,41.0
akt,family,,,,p31749,,,mek1,protein,,,,q02750,,,negative,False,nan,,,,,,,,nan,pmc3625979,1.0,1.0,40.0,1.0,41.0
akt,protein,,,,p31749,,,itk,protein,,,,q08881,,,negative,False,nan,,,,,,,,nan,pmc3949578,1.0,1.0,40.0,1.0,41.0
il2,protein,,,,p60568,,,itk,protein,,,,q08881,,,positive,False,nan,,,,,,,,nan,pmc3949578,1.0,1.0,40.0,1.0,41.0
tcr,protein,,,,p01850,,,mek1,protein,,,,q02750,,,positive,False,nan,,,,,,,,nan,pmc4418530,1.0,1.0,40.0,1.0,41.0
mtor,protein,,,,p42345,,,pak1,protein,,,,q13153,,,positive,False,nan,,,,,,,,nan,pmc4487994,1.0,1.0,40.0,1.0,41.0
tcr,protein,,,,p04235,,,nedd4,protein,,,,p46934,,,positive,False,nan,,,,,,,,nan,pmc4418530,1.0,1.0,40.0,1.0,41.0
mtorc1,protein,,,,q8n122,,,pak1,protein,,,,q13153,,,positive,False,nan,,,,,,,,nan,pmc4487994,1.0,1.0,40.0,1.0,41.0
mtor,protein,,,,p42345,,,pak1,protein,,,,q13153,,,negative,False,nan,,,,,,,,nan,pmc4487994,1.0,1.0,40.0,1.0,41.0
akt,protein,,,,p31749,,,cd4,protein,,,,p01730,,,negative,False,nan,,,,,,,,nan,pmc3949578,1.0,1.0,40.0,1.0,41.0
akt,family,,,,p31749,,,foxo3,protein,,,,o43524,,,negative,False,nan,,,,,,,,nan,pmc4496363,1.0,1.0,40.0,1.0,41.0
foxp3,protein,,,,q9bzs1,,,gpr83,protein,,,,q9nym4,,,positive,False,nan,,,,,,,,nan,pmc2275380,1.0,1.0,40.0,1.0,41.0
pi3k,protein,,,,p42336,,,pak1,protein,,,,q13153,,,negative,False,nan,,,,,,,,nan,pmc4487994,1.0,1.0,40.0,1.0,41.0
akt,family,,,,p31749,,,ctrl,protein,,,,p40313,,,negative,False,nan,,,,,,,,nan,pmc2275380,1.0,1.0,40.0,1.0,41.0
foxp3,protein,,,,q9bzs1,,,ctla4,protein,,,,p16410,,,positive,False,nan,,,,,,,,nan,pmc2275380,1.0,1.0,40.0,1.0,41.0
tcr,protein,,,,p01850,,,ck2,protein,,,,q53gl0,,,positive,False,nan,,,,,,,,nan,pmc4418530,1.0,1.0,40.0,1.0,41.0
pten,protein,,,,p60484,,,cd8,family,,,,cd8,,,positive,False,nan,,,,,,,,nan,pmc3375464,1.0,1.0,40.0,1.0,41.0
mtorc1,protein,,,,q8n122,,,tbk1,protein,,,,q9uhd2,,,positive,False,nan,,,,,,,,nan,pmc4302769,1.0,1.0,40.0,1.0,41.0
akt,family,,,,p31749,,,cd4,protein,,,,p01730,,,negative,False,nan,,,,,,,,nan,pmc2275380,1.0,1.0,40.0,1.0,41.0
tcr,protein,,,,p04234,,,cd4,protein,,,,p01730,,,negative,False,nan,,,,,,,,nan,pmc3949578,1.0,1.0,40.0,1.0,41.0
bcl2,protein,,,,p10415,,,cd3,protein,,,,cd3,,,positive,False,"nan,nan",,,,,,,,"nan,nan","pmc5193405,pmc5193405",2.0,0.1,40.0,1.0,40.2
sipak1,protein,,,,uaz03324,,,pak1,protein,,,,q13153,,,negative,False,nan,,,,,,,,nan,pmc4487994,1.0,0.1,40.0,1.0,40.1
bim,protein,,,,o43521,,,pak1,protein,,,,q13153,,,positive,False,nan,,,,,,,,nan,pmc4487994,1.0,0.1,40.0,1.0,40.1
itk,protein,,,,q08881,,,th17,protein,,,,uaz02468,,,positive,False,nan,,,,,,,,nan,pmc3949578,1.0,0.1,40.0,1.0,40.1
erk,family,,,,p29323,,,s5b,protein,,,,uaz02655,,,positive,False,nan,,,,,,,,nan,pmc3625979,1.0,0.1,40.0,1.0,40.1
erk,family,,,,p29323,,,pak1,protein,,,,q13153,,,positive,False,nan,,,,,,,,nan,pmc4487994,1.0,0.1,40.0,1.0,40.1
pdl1,protein,,,,q9nzq7,,,gp120,protein,,,,q14624,,,positive,False,nan,,,,,,,,nan,pmc4669187,1.0,0.1,40.0,1.0,40.1
bam32,protein,,,,q9un19,,,pak1,protein,,,,q13153,,,positive,False,nan,,,,,,,,nan,pmc4487994,1.0,0.1,40.0,1.0,40.1
cd5,protein,,,,p06127,,,p38,family,,,,p38,,,positive,False,nan,,,,,,,,nan,pmc5193405,1.0,0.1,40.0,1.0,40.1
bcl2l11,gene,,,,o43521,,,cd4,protein,,,,p01730,,,positive,False,nan,,,,,,,,nan,pmc4487994,1.0,0.1,40.0,1.0,40.1
itk,protein,,,,q08881,,,cd4,protein,,,,p01730,,,positive,False,nan,,,,,,,,nan,pmc3949578,1.0,0.1,40.0,1.0,40.1
itk,protein,,,,q08881,,,cd4,protein,,,,p01730,,,negative,False,nan,,,,,,,,nan,pmc3949578,1.0,0.1,40.0,1.0,40.1
tbk1,protein,,,,q9uhd2,,,cd4,protein,,,,p01730,,,negative,False,nan,,,,,,,,nan,pmc4302769,1.0,0.1,40.0,1.0,40.1
tbk1,protein,,,,q9uhd2,,,cd4,protein,,,,p01730,,,positive,False,nan,,,,,,,,nan,pmc4302769,1.0,0.1,40.0,1.0,40.1
ck2,protein,,,,q53gl0,,,cd4,protein,,,,uaz00341,,,positive,False,nan,,,,,,,,nan,pmc5193405,1.0,0.1,40.0,1.0,40.1
p38,family,,,,p38,,,cd5,protein,,,,p06127,,,positive,False,nan,,,,,,,,nan,pmc5193405,1.0,0.1,40.0,1.0,40.1
sp,protein,,,,q03403,,,cd69,protein,,,,q07108,,,positive,False,nan,,,,,,,,nan,pmc5193405,1.0,0.1,40.0,1.0,40.1
pdl1,protein,,,,q9nzq7,,,cd8,family,,,,cd8,,,negative,False,nan,,,,,,,,nan,pmc4669187,1.0,0.1,40.0,1.0,40.1
ck2,protein,,,,q53gl0,,,cdc37,protein,,,,q16543,,,positive,False,nan,,,,,,,,nan,pmc5193405,1.0,0.1,40.0,1.0,40.1
ck2,protein,,,,uaz00325,,,cdc37,protein,,,,q16543,,,positive,False,nan,,,,,,,,nan,pmc5193405,1.0,0.1,40.0,1.0,40.1
cd5,protein,,,,p06127,,,ck2,protein,,,,q53gl0,,,positive,False,nan,,,,,,,,nan,pmc5193405,1.0,0.1,40.0,1.0,40.1
erk,family,,,,p29323,,,ck2,protein,,,,q53gl0,,,positive,False,nan,,,,,,,,nan,pmc5193405,1.0,0.1,40.0,1.0,40.1
fasl,protein,,,,p48023,,,fas,protein,,,,p25445,,,positive,False,nan,,,,,,,,nan,pmc4487994,1.0,0.1,40.0,1.0,40.1
foxo3,protein,,,,o43524,,,foxo3,protein,,,,uaz03334,,,positive,False,nan,,,,,,,,nan,pmc4487994,1.0,0.1,40.0,1.0,40.1
foxo,family,,,,foxo,,,foxo3a,protein,,,,o43524,,,negative,False,nan,,,,,,,,nan,pmc3375464,1.0,0.1,40.0,1.0,40.1
cd4,protein,,,,p01730,,,il17a,protein,,,,q16552,,,negative,False,nan,,,,,,,,nan,pmc3949578,1.0,0.1,40.0,1.0,40.1
hif1alpha,protein,,,,q16665,,,il17a,protein,,,,q16552,,,negative,False,nan,,,,,,,,nan,pmc3949578,1.0,0.1,40.0,1.0,40.1
itk,protein,,,,q08881,,,myc,protein,,,,p01106,,,negative,False,nan,,,,,,,,nan,pmc3949578,1.0,0.1,40.0,1.0,40.1
pdl1,protein,,,,q9nzq7,,,treg,protein,,,,uaz02439,,,negative,False,nan,,,,,,,,nan,pmc4669187,1.0,0.1,40.0,1.0,40.1
